год,том,поэты,количество уникальных поэтов,страницы с поэзией,количество страниц с поэзией,процент страниц с поэзией,количество стихов,процент стихов от всех произведений
1955,1,"Берестов Валентин, Грибачёв Николай, Маршак Самуил, Раскин А., Щипачёв Степан",5,"3, 9, 55, 106, 107, 108, 111",7,"6,3",7,"14,0"
1955,2,"Асеев Николай, Ваншенкин Константин, Глущенко Валентин, Дзю-И Бо, Хэ Чжи-Чжан",5,"3, 17, 36, 44",4,"3,6",5,"17,9"
1955,3,"Барто Агния, Бершадский Виктор, Борев Юрий, Рождественский Роберт, Хикмет Назым",5,"3, 4, 19, 85, 100, 111",6,"5,4",5,"15,6"
1955,4,"Берестов Валентин, Ваншенкин Константин",2,"3, 10",2,"1,8",2,"9,1"
1955,5,"Евтушенко Евгений, Карпеко Владимир, Кравчук Максим, Яковлев Юрий",4,"3, 4, 36, 43, 65, 66, 67, 68, 69, 70, 71",11,"9,8",4,"14,8"
1955,6,"Блок Александр, Векслер М., Домрин В., Друнина Юлия, Калимуллин И., Кириллов К., Красноперов С., Кривобокова Л., Турумбетов Ходжамурат, Фоняков Илья",10,"3, 4, 17, 18, 44, 84, 111",7,"6,3",10,"32,3"
1955,7,"Досталь Андрей, Дубровин Борис, Коржиков Виталий, Лифшиц Владимир, Максимов Марк, Ряшенцев Юрий, Яковлев Юрий",7,"2, 20, 37, 38, 65, 77, 109",7,"6,3",7,"28,0"
1956,1,"Берестов Валентин, Бялосинская Нина, Гордиенко Юрий, Марков А., Наровчатов Сергей, Сорин Семён, Субботин В., Шаховский Борис",8,"3, 70, 74, 75, 76, 80",6,"5,4",13,"38,2"
1956,2,"Виноградов Виктор, Винокуров Евгений, Дубровин Борис, Заходер Борис, Коржиков Виталий, Михалков Сергей, Свирин Владимир, Смышляев Юрий, Солодарь Цезарь, Щипахина Людмила, Ястребцев Валентин",11,"2, 40, 61, 62, 63, 64, 74, 75, 109, 110, 111",11,"9,8",20,"54,1"
1956,3,"Гамзатов Расул, Кедрин Дмитрий, Островой Сергей",3,"37, 38, 54",3,"2,7",3,"16,7"
1956,4,"Беляев Михаил, Берестов Валентин, Доризо Николай, Коринец Ю., Полухин Ю.",5,"3, 29, 46, 47, 48, 49, 50, 51, 52, 53, 78, 79",12,"10,7",7,"38,9"
