id,author,title,magazine_issue,year,first_page,last_page,epigraph,text,genre,topic,,,
1,Щипачёв Степан,Юность,1,1955,3,3,-,"Стала легендою, знаменем, песней,\nРвущейся в завтрашние просторы,\nЮность дружинников Пресни,\nЮность матросов «Авроры».\n\nНизко склонялась над картой и книгой\nЧубом то черным, то русым\nЮность отважных комбригов\nИ комиссаров безусых.\n\nЧто этой юности прежние тропки,\nЕсли планета такой не видала!\nСердце Лазо в паровозной топке\nФакелом ей, непреклонной, стало.\n\nШахты, заводы в снегах вырастали;\nПуть открывался не узок, не мелок.\nМы комсомольцами «бывшими» стали —\nЮность все так же гремела,\n\nС тем же упрямством своим неустанным\nВ бури тавжные, брови не хмуря,\nРыла первые котлованы\nГорода юности на Амуре;\n\nЗемлю пахала, училась юность,\nРезала сталь, бинтовала раны,\nБой приняла в тот рассвет в июне,\nВ танках горела, шла на тараны.\n\nЮность к ребятам нагрянет быстро\nИ поведет по дороге верной,\nЕсли в ней будет хоть искра\nЮности той бессмертной.",лирика,"юность, революция, труд, героизм",,,
2,Грибачёв Николай,В пути,1,1955,9,9,-,"Над Десной под песней соловьиной\nВ дальние безвестные края\nТеплой стежкой, в травах еле видной,\nУходила молодость моя.\n\nНа глаза ей слезы набежали\nНи о чем пока и ни о ком —\nБудущего счастья и печали\nБыл ещё её облик незнаком.\n\nСквозь сухие летние туманы,\nНет, еще не видела она,\nНе считала пулевые раны\nИ не примеряла ордена.\n\nНе светил ей ни пожар Берлина,\nНи салют Москвы издалека,\nТолько была травами долина\nДа неслось по ветру облака...\n\nВсе случилось, все, что полагалось.\nКак с покоса жаркого домой,\nОщущая легкую усталость,\nЯ иду тропой береговой.\n\nСоловьи поют — осатанели,\nТравы льются. А навстречу мне\nВ куртке, перешитой из шинели,\nПаренек с котомкой на спине.\n\nСероглазый, русый, крепко сбитый —\nДень весны моей полузабытый,\nМолодость без шрамов и наград.\n— Ты куда!\n— Учиться в Ленинград!\n\nСторонюсь, тропинку уступая.\nИ, забыв тотчас же про меня,\nОн уходит, словно утопая\nВ теплых травах, в синей дымке дня.\n\nИ над рощей облака теснятся,\nИ дорога катится за холм,\nИ готов я жизнью поменяться\nС неприметным этим пареньком...",лирика,"молодость, война, память, природа, жизнь, надежда",-,,-
3,Берестов Валентин,Москвичка,1,1955,55,55,Памяти героя декабрьского восстания,"Это было на Пресне полвека назад.\nСнегопад... И без боли снежинки слепят.\n\nСнег ложится пушистый и белый, как в сказке,\nТы идешь, и скользят за тобою салазки.\n\nКак чутка, как тревожна сегодня Москва!\nСлышишь выстрелы дальние! Пресня жива!\nК баррикадам последней ее обороны\nТы везешь драгоценную тяжесть — патроны.\n\nПодоспела! «Спасибо, товарищ Москвичка!»\n[Ты без имени — это партийная кличка.]\n\nТоропливо патроны твои разберут.\nБаррикада продержится сорок минут,\n\nНо минуты восстания в жизни народа\nБудут значить не меньше, чем долгие годы.\n\nА когда поредеет дружинников круг,\nУ погибшего вынешь винтовку из рук,\n\nИ прицелишься, глядя сквозь мглу снегопада,\nИ умрешь, защищая свою баррикаду.\n\nСтруйка крови, горячая, терпкая влага,\nСтанет ниточкой в пламени красного флага.",лирика,"революция, героизм, борьба",,,
4,Берестов Валентин,Серцевина,1,1955,55,55,-,"Как-то в ясный полдень на корчевье\nПовстречал я племя пней лесных.\nАвтобиографии деревьев\nКольцами написаны на них.\n\nКольца, что росли из лета в лето,\nСосчитал я все до одного:\nЭто — зрелость дерева, вот это —\nЮность тонкоствольная его.\n\nНу, а детство где же!\nВ середину,\nВ самое заветное кольцо,\nСпряталось, и стало сердцевиной\nТонкое, смешное деревцо.\n\nТы — отец. Так пусть же детство сыну\nНе пройдет перед тобой, как сон.\nЭто детство станет сердцевиной\nЧеловека будущих времен.",лирика,"природа, детство, жизнь",,,
5,Берестов Валентин,Экзамен,1,1955,55,55,-,"Роса, и тающий туман,\nИ расставанье под часами,\nА после — голову под кран\nИ без задержки — на экзамен.\n\nЧуть притушив сиянье глаз,\nТаких восторженных, влюбленных,\nОн начинает свой рассказ\nПро наших предков отдаленных.\n\nТеряясь от избытка чувств,\nОн говорит про жизнь былую,\nИ те слова слетают с уст,\nХранящих свежесть поцелуя.\n\nДля поздравленья на момент\nЕго задерживая руку,\nПрофессор думает: «Студент,\nЧто говорить, влюблен в науку!».",лирика,"студенческая жизнь, любовь, экзамены",,,
6,Маршак Самуил,Мастерская в кармане («Подарок именинный...»),1,1955,106,108,-,"Подарок именинный —\nОтличный\nПерочинный\nСтальной\nСкладной\nКарманный нож.\n\nШестнадцать лезвий\nВ нём найдёшь.\n\nВсегда готов он помогать\nТебе во всяком деле,\nПростую палку обстругать\nИ вырезать модели,\n\nРазрезать тоненькую нить,\nК дичку антоновку привить,\nОтсечь сухие ветки,\nВ пути оставить метки,\nС конверта срезать марки,\nС листа стереть помарки\nИли на отдыхе в лесу\nНарезать хлеб и колбасу.\n\nСмотри: уложенные в ряд,\nКак серебро, сверкая,\nОтвёртки, ножнички лежат...\nНе нож, а мастерская!\n\nВ одно мгновенье может нож\nВесь ощетиниться, как ёж.\n\nВ карманной этой мастерской\nВсё то, что нужно, — под рукой:\nНабор ножей и пилок\nИ штопор для бутылок.\n\nЕсть и сверло, и долото,\nИ даже сам не знаю что!\n\nОтличный нож,\nЧудесный нож.\nС таким нигде\nНе пропадёшь —\nНи на воде,\nНи на земле,\nНи на воздушном корабле.\n\nТебе твой нож,\nКак верный друг,\nОкажет тысячи услуг.\nНо если попадёт он в руки\nТем, кто играет с ним от скуки, —\nОн натворит немало бед.\n\nЕсть у меня один сосед.\nЕго зовут Шарашкин Колька.\nЖивёт он ниже этажом.\nМы сосчитать не можем, сколько\nСтолов изрезал он ножом.\n\nПерецарапал все обложки\nИ переплёты школьных книг.\nГустую шерсть ангорской кошки\nНа днях он ножничками стриг.\n\nВ саду, на пристани, в трамвае\nИспортил не одну скамью,\nНа гладкой спинке вырезая\nНожом фамилию свою.\n\nНа всех скамейках прочитай\nСлова: «Шарашкин Николай».\n\nНа самой грязной парте в школе\nЕго фамилию найдёшь...\nНо наконец сбежал от Коли,\nРешив пожить на вольной воле,\nСтальной\nСкладной\nКарманный нож.\n\nТупой, зазубренный и ржавый,\nПролез он сквозь карман дырявый,\nНарочно спрятался в траве\nИ пролежал недели две.\n\nЗдесь увидал ножик перочинный\nЖуков, шмелей, сороконожек,\nИ муравей за муравьём.\nВ него входили, точно в дом.\n\nКак в переулках незнакомых,\nОт изумления жужжа,\nБродило много насекомых\nПо всем извилинам ножа.\n\nА скоро ножик перочинный\nПокрылся пыльной паутиной.\nКазалось, век он пролежит\nВ траве, потерян и забыт,\nВдали от всех путей-дорожек,\nСтальной\nСкладной\nКарманный ножик.\n\nНо шла из школы молодежь.\nОдин сказал: — Гляди-ка, нож!\nДругой сказал: — Оставь, не трогай,\nПойдём-ка, брат, своей дорогой.\nНа что нам нужен этот лом!\nА третий говорит: — Возьмём.\nЯ вам ручаюсь честным словом,\nЧто старый ножик станет новым!\n\nСказали школьники: — Ну что ж,\nВозьмём в работу старый нож!\n\nСначала ножик перочинный\nКупали в ванне керосинной,\nКлинок отмыли за клинком,\nОтшлифовали наждаком,\nТупые лезвия лечили\nНа карборундовом точиле.\n\nИ вот готов карманный нож.\nОн стал попрежнему хорош.\n\nОпять начищены до блеска\nСтальные ножнички, стамеска.\nОпять сверкают, как стекло,\nОтвёртка, шило и сверло.\n\nБлестит набор клинков и пилок\nИ цепкий штопор для бутылок.\n\nОни живут в одном ноже\nИ с нетерпеньем ждут работы,\nКак ждут машины в гараже\nИли в ангаре самолёты.",детская поэзия,"инструменты, труд, мастерство",,,
7,Раскин А.,Плюс и минус (стихотворение-фельетон),1,1955,111,111,-,"На двери, на стене, на тротуаре\nУглем и мелом пишут вновь и вновь:\n«Володя плюс Марина или Варя,\nЗнак равенства = любовь».\n\nПусть мир узнает, раньше или позже,\nПусть понимает гражданин любой,\nЧто Зина или Нина плюс\nСерёжа,\nЗнак равенства = любовь.\n\nВ Ташкенте, Ленинграде и Казани —\nВезде есть мел, стена и молодежь,\nИ ценные такие указанья\nПовсюду ты найдёшь.\n\nБольшого остроумия не надо,\nИ выдумка здесь тоже не нужна,\nОдна забота и одна отрада —\nПроставить имена.\n\nА там дразнит Нину и Серёжу,\nИ спортят дружбу, доведут до слёз...\nТоварищи! Меня дразнили тоже\nИ в шутку и всерьёз.\n\nТоварищи! И я учился в школе\nКаких-то двадцать с лишним лет назад...\nМы познакомились на волейболе\nИ вышли на Арбат...\n\nА впрочем, тут не так важны детали...\nДомой всегда нам было по пути,\nГуляли мы, болтали и мечтали\nПозднее десяти.\n\nО, юной дружбы светлая стихия!\nМальчишеской влюблённости грехи!\nДлиннощие, чудовищно плохие,\nНо всё-таки стихи!\n\nПривет вам, девочки из семилетки,\nДрузья моих далёких школьных лет!\nПо всем предметам есть у нас отметки,\nЖаль, что по дружбе нет.\n\nПривет вам, Люба, Зина, Лиза, Тая!\nОбрывки детства в памяти храня,\nВы, эти строки тёплые читая,\nПрипомните меня.\n\nПрипомните далёкие прогулки,\nУроки, перемены, вечера,\nСвиданья в Мерзляковском переулке\nКак будто бы вчера...\n\nКак славно, как мы весело дружили,\nКак мы любили шумный школьный двор!\nЕго воспоминанья окружили\nТеснее, чем забор...\n\nТак вот о дружбе. Штука не простая.\nРазбито об неё немало лбов...\nКласс... мел... доска... и надпись:\nЯ плюс Тая,\nЗнак равенства = любовь!\n\nНе знал никто в неполной средней школе,\nСколь горестна, увы, судьба моя!\nВедь Тая, в сущности, была плюс Коля\nИ минус, минус я.\n\nНо наша дружба не порвалась, Колька,\nМы были рядом в двадцати делах,\nМы всё учились вместе, а не только\nВстречались на балах...\n\nТы не Онегин был, а я не Ленский,\nХоть сердцем, юность, я доныне твой...\nТак мы дружили не в мужской, не в женской —\nВ единой, трудовой.",фельетон,"юность, дружба, любовь, школьные годы",,,
8,Асеев Николай,Наша юность,2,1955,3,3,-,"Наша юность\nтем хороша,\nчто\nвешняя зорька зардела;\nчто\nот ленинского шалаша\nей открылись\nпути без предела.\n\nНаша юность\nтем хороша,\nчто\nс костров пионерских сумела,\nсвежим ветром\nглубоко дыша,\nзакалить\nсвою волю и тело.\n\nНаша юность\nтем хороша,\nчто мечтой\nв занебесье взлетела,\nчто ничья молодая душа\nот заботы\nне очерствела.\n\nНаша юность\nтем хороша,\nчто глядит\nнеподкупно и смело,\nне ища\nдля себя барыша,\nза великое\nборется дело.\n\nНаша юность\nтем хороша,\nчто страна\nее в славу одела,\nруды плавя,\nпокос вороша,\nразным знаньем\nона овладела.\n\nВсе препятствия\nсокруша,\nперед трудностями не робея,\nкак густая стена\nкамыша,\nнад рекой\nее песнь прошумела.",гражданская поэзия,"юность, мечты, революция, труд, патриотизм, пионерия",,,
9,Глущенко Валентин,Девочка,2,1955,17,17,-,"Что их, девчонок, уважать?\nПодставишь ножку — плачут.\nЛегко девчонок обижать,\nОни не влепят сдачу.\nИ вдруг, как гром среди ясного дня,\nСажают с девочкой меня.\nМеня! За парту за одну\nС девчонкой? Кто с ней сядет!\nПриятель шепчет: «Ты в плену.\nОна с тобою сладит».\n— Она?!\nПрилично волосы\nЗачесаны за ушки.\nПодстриженные ноготки.\nА на носу — веснушки.\n— Так, так...\nЯ ногу поболней\nЕй прищемлю сначала.\nПотом еще разок, сильней...\nОна не закричала.\nИ не пожаловалась, нет.\nЛишь щеки, словно маков цвет.\n\nЗвенит звонок. Прошел урок.\nУшел из класса педагог.\nНа перемену надо.\nНо на пути — преграда.\nСтоит девчонка. Грозный вид.\nГлаза горят. Лицо горит:\n«Послушай, ты меня не зли.\nА хочешь задираться,\nТогда на улицу пойдем,\nПо чести будем драться».\nВот это фокус! Ничего!..\nНашлась драчунья тоже.\nПромямлил я: «Ты не того,\nНе очень лезь из кожи».\n\nМы с нею долго были врозь.\nМне, с двойками в журнале,\nКак в стуле гвоздь,\nКак в горле кость,\nЕе пятерки стали.\nКуда деваться от стыда?\nВсегда в хвосте. Досадно!\nНалег на книги я тогда,\nСидел, корпел изрядно\nИ вот впервые в мой дневничок\nКрючок пятерочный проник.\nЗажегся я: «Добьюсь побед,\nЧтоб вечно уважала!»\n\nКатилась время волна.\nНет нашей дружбы чище.\nХоть стала девушкой она,\nА я в сажёнь парнище.\nХотелось подвигов, чудес,\nХотелось быть героем!\nМы с ней на лыжах\nв дальний лес\nУмчались как-то двое.\nУшли за тридевять земель,\nЗа двадцать километров.\nЗакутаресила метель,\nЗавыл сосняк от ветра.\nДавно потеряна лыжня,\nПромокла куртка у меня.\nКак хорошо б сейчас к сосне\nТихонько присниться!..\nНо рядом девушка, и мне\nНельзя остановиться.\nЛишь утром мы пришли в село.\nСнега сверкали чудно.\nВзглянула девушка тепло...\nСказать об этом трудно.",лирика,"любовь, дружба, взросление, природа, героизм",,,
10,Ваншенкин Константин,Трудная ничья,2,1955,36,36,-,"По блещущей зале огромной,\nВдоль длинного ряда столов\nПроходит высокий и скромный\nГроссмейстер Василий Смыслов.\n\nНа досках толпятся фигуры.\nИ вот в папироском дыму,\nКто весело даже, кто хмуро,\nПартнеры сдаются ему.\n\nСдаются старательно слишком.\nИ вот остается один —\nДвенадцатилетний мальчишка,\nСотрудница нашего сын.\n\nСидит пионер, замирая,—\nПоистине тише воды.\n\nКнижонка пред ним записная,\nГде он отмечает ходы.\n\nСидит пред лицом ветерана,\nИ зрителю видно,\nИ, как это людям ни странно,\nИх шансы примерно равны.\n\nГроссмейстер, подумав, конечно,\nПозицию взвесив свою,\nКивает мальчишке неспешно:\n— Я вам предлагаю ничью...\n\nБолельщики ахают дружно,\nСраженные этим конец.\nКричат: — Зазнаваться не нужно!\nСкорей соглашайся, малец!..\n\nИ сбытий немножечко с толку,\nСвоею судьбой восхищен,\nОн думает, думает долго.\nИ вот соглашается он...\n\n...Привыкший к боям и победам,\nНе тратящий попусту слов,\nКонечно, о вечере этом\nЗабудет гроссмейстер Смыслов.\n\nК чему упрекать нам Смыслова?\nПройдут еще многие дни,\nИ встретятся, может быть, снова\nНа крупном турнире они.\n\nГроссмейстер помыслит, конечно,\nПозицию взвесит свою\nИ скажет немного неспешно:\n— Я вам предлагаю ничью...\n\nНо, силу возрощую зная,\nПартнер на ничью не пойдет.\nОн скажет в ответ: — Отклоняю!..\nПомедит и сделает ход...",гражданская поэзия,"шахматы, соревнование, взросление, уважение, спорт",,,
