"word","freq"
"пусть",103
"жизнь",90
"сердце",83
"словно",80
"день",79
"ветер",78
"глаза",73
"будто",64
"руки",63
"солнце",63
"люди",57
"своей",56
"мир",54
"сегодня",52
"жить",51
"ночь",51
"свет",50
"снова",49
"друг",48
"лет",47
"опять",43
"год",42
"идет",42
"земле",41
"знаю",41
"небо",41
"снег",41
"земли",40
"каждый",39
"всю",38
"сколько",38
"стоит",38
"жизни",37
"вперед",35
"ничего",35
"ночи",35
"дом",34
"землю",32
"земля",32
"много",32
"свете",32
"время",31
"город",31
"любовь",31
"путь",31
"шел",31
"дороги",30
"слова",30
"слово",30
"хочу",30
"голос",29
"могу",29
"народ",29
"пути",29
"вместе",28
"давно",28
"дня",28
"дома",28
"домой",28
"дорог",28
"рядом",28
"вижу",27
"года",27
"друзья",27
"люблю",27
"мама",27
"мать",27
"счастье",27
"утра",27
"шли",27
"видел",26
"вновь",26
"вода",26
"звезды",26
"людей",26
"самой",26
"среди",26
"юность",26
"города",25
"дни",25
"лицо",25
"любви",25
"песни",25
"сердца",25
"час",25
"человек",25
"горы",24
"девушка",24
"песня",24
"тобою",24
"говорит",23
"моей",23
"родина",23
"слава",23
"сразу",23
"цветы",23
"всей",22
"глаз",22
"дорога",22
"друга",22
"море",22
"ноги",22
"помню",22
"своим",22
"сказал",22
"слов",22
"хлеб",22
"бой",21
"девчонка",21
"живет",21
"край",21
"мало",21
"радость",21
"скоро",21
"товарищ",21
"этого",21
"буду",20
"ветра",20
"душа",20
"мальчишка",20
"нее",20
"нибудь",20
"облака",20
"огня",20
"ради",20
"руку",20
"том",20
"черный",20
"больше",19
"взгляд",19
"воздух",19
"впервые",19
"говорят",19
"горе",19
"дым",19
"живой",19
"зачем",19
"коль",19
"конца",19
"любить",19
"новый",19
"ответ",19
"поле",19
"пускай",19
"рот",19
"снега",19
"сюда",19
"твоей",19
"утром",19
"век",18
"выше",18
"годы",18
"гор",18
"души",18
"завтра",18
"идут",18
"кого",18
"лучше",18
"наших",18
"песок",18
"поет",18
"пор",18
"своих",18
"сорок",18
"белый",17
"будем",17
"везет",17
"весна",17
"видно",17
"груди",17
"должно",17
"жил",17
"зима",17
"конечно",17
"ленин",17
"меж",17
"мол",17
"молодость",17
"нашей",17
"нету",17
"почему",17
"птицы",17
"ребята",17
"река",17
"рук",17
"самый",17
"смерть",17
"шла",17
"века",16
"весны",16
"воды",16
"добрый",16
"дождь",16
"дорогу",16
"ждет",16
"знал",16
"лес",16
"людям",16
"начало",16
"окна",16
"окно",16
"пора",16
"работа",16
"сидит",16
"скажет",16
"таня",16
"тишина",16
"хлеба",16
"вчера",15
"глядит",15
"долго",15
"знает",15
"имя",15
"кино",15
"леса",15
"лица",15
"моих",15
"ночью",15
"отец",15
"пламя",15
"покой",15
"пред",15
"пришел",15
"скажу",15
"снегу",15
"солнца",15
"станет",15
"степи",15
"стол",15
"сын",15
"труд",15
"хотя",15
"юности",15
"белых",14
"боль",14
"вечер",14
"война",14
"волны",14
"восток",14
"глазах",14
"двадцать",14
"дело",14
"другой",14
"душе",14
"запах",14
"звенит",14
"земной",14
"зной",14
"зовет",14
"идти",14
"катя",14
"кровью",14
"мальчишки",14
"молодежь",14
"мою",14
"неба",14
"немало",14
"нынче",14
"огонь",14
"одной",14
"парень",14
"праздник",14
"прожить",14
"равно",14
"рука",14
"руках",14
"сказать",14
"скорей",14
"сон",14
"старик",14
"стены",14
"столько",14
"стоят",14
"счастья",14
"утро",14
"ходит",14
"хороша",14
"часы",14
"бывает",13
"встает",13
"горит",13
"дай",13
"девочка",13
"дети",13
"друзей",13
"душу",13
"знать",13
"ладони",13
"лежит",13
"летят",13
"мальчики",13
"мире",13
"мчится",13
"нему",13
"нею",13
"огне",13
"огнем",13
"плечи",13
"порой",13
"поэт",13
"правда",13
"пыль",13
"реки",13
"родной",13
"рукою",13
"сердцем",13
"сердцу",13
"сказала",13
"смерти",13
"средь",13
"стихи",13
"страшно",13
"таким",13
"тепло",13
"травы",13
"тучи",13
"шепчет",13
"беда",12
"большой",12
"будь",12
"вдали",12
"верю",12
"ветру",12
"взглядом",12
"войны",12
"впереди",12
"встречает",12
"голубой",12
"готов",12
"губы",12
"гул",12
"дали",12
"двери",12
"дому",12
"забыть",12
"именем",12
"иначе",12
"коней",12
"края",12
"любой",12
"миг",12
"мною",12
"мороз",12
"наверно",12
"небе",12
"никому",12
"ног",12
"нож",12
"нужна",12
"огни",12
"окном",12
"память",12
"пишу",12
"поезд",12
"поезда",12
"пришли",12
"россии",12
"русский",12
"света",12
"своем",12
"силы",12
"слезы",12
"солдат",12
"солнцем",12
"стою",12
"тень",12
"блестит",11
"будешь",11
"вечно",11
"глазами",11
"гляжу",11
"говорил",11
"говорю",11
"головой",11
"гром",11
"далеких",11
"девчата",11
"девчонки",11
"дела",11
"дней",11
"днем",11
"доме",11
"дороге",11
"дорогой",11
"других",11
"женщина",11
"звезда",11
"идем",11
"иду",11
"косы",11
"крик",11
"мечты",11
"мысли",11
"навсегда",11
"никого",11
"однажды",11
"одну",11
"осень",11
"отца",11
"паровоз",11
"песню",11
"помните",11
"последний",11
"поют",11
"привык",11
"ручей",11
"светло",11
"своего",11
"север",11
"сибирь",11
"синий",11
"скал",11
"слышу",11
"сотни",11
"спит",11
"степь",11
"страна",11
"страны",11
"тик",11
"тишине",11
"туда",11
"упрямый",11
"холод",11
"хотел",11
"хочет",11
"черной",11
"черт",11
"боли",10
"бою",10
"веры",10
"веселый",10
"видать",10
"видеть",10
"встают",10
"всюду",10
"высокий",10
"грохот",10
"далеко",10
"даль",10
"добра",10
"другом",10
"дядя",10
"закат",10
"зари",10
"зло",10
"зовут",10
"зря",10
"каждой",10
"костер",10
"красный",10
"краю",10
"кровь",10
"крылья",10
"лета",10
"летит",10
"листья",10
"луна",10
"льется",10
"машины",10
"места",10
"метель",10
"навек",10
"напрасно",10
"немного",10
"осталась",10
"памяти",10
"первое",10
"песней",10
"письма",10
"поля",10
"порою",10
"рабочий",10
"радостно",10
"разговор",10
"ребят",10
"родная",10
"руками",10
"рукой",10
"село",10
"сил",10
"след",10
"слез",10
"слышишь",10
"смех",10
"сосны",10
"спать",10
"стоял",10
"строю",10
"судьба",10
"такую",10
"тело",10
"тише",10
"траве",10
"хотелось",10
"целый",10
"бегут",9
"берег",9
"ближе",9
"больно",9
"бьет",9
"вася",9
"ведет",9
"весенней",9
"весне",9
"весну",9
"видит",9
"видишь",9
"воде",9
"воду",9
"войну",9
"волна",9
"волосы",9
"времени",9
"глубоко",9
"глядел",9
"гляди",9
"году",9
"голоса",9
"гордо",9
"горячий",9
"грудь",9
"дверь",9
"дел",9
"детства",9
"джаксы",9
"должен",9
"дышит",9
"ждут",9
"железо",9
"забыв",9
"завод",9
"звезд",9
"землей",9
"знаешь",9
"идешь",9
"капли",9
"комсомольский",9
"который",9
"крови",9
"круг",9
"лед",9
"ливень",9
"любимый",9
"месяц",9
"минуту",9
"молодой",9
"молодых",9
"молча",9
"москву",9
"найти",9
"небеса",9
"недаром",9
"ногами",9
"ночной",9
"общем",9
"пахнет",9
"первой",9
"первым",9
"победа",9
"подарок",9
"пожалуй",9
"полон",9
"помочь",9
"пот",9
"пошел",9
"прочь",9
"прошли",9
"россия",9
"самых",9
"сергей",9
"силу",9
"сих",9
"следы",9
"солдаты",9
"стану",9
"старый",9
"стене",9
"счастлив",9
"сына",9
"тайга",9
"такого",9
"тысячи",9
"улице",9
